Date,Open,High,Low,Close,Adj.Close,Date.1,Open.1,High.1,Low.1,Close.1,Adj.Close.1,Volume
5-May-23,4136.98,4154.28,4098.92,4124.08,4124.08,2023/5/6,29095.46094,29426.06055,28931.81055,29388.30078,29388.30078,436100000
12-May-23,4126.65,4212.91,4109.86,4191.98,4191.98,2023/5/13,29547.03906,30924.57031,29475.9707,30808.34961,30808.34961,460100000
19-May-23,4190.78,4212.87,4103.98,4205.45,4205.45,2023/5/20,30735.71094,31352.5293,30558.14063,30916.31055,30916.31055,411600000
26-May-23,4226.71,4290.67,4166.15,4282.37,4282.37,2023/5/27,31388.00977,31560.42969,30785.98047,31524.2207,31524.2207,520500000
2-Jun-23,4282.99,4322.62,4261.07,4298.86,4298.86,2023/6/3,31864.11914,32708.5293,31420.44922,32265.16992,32265.16992,480700000
9-Jun-23,4308.32,4448.47,4304.37,4409.59,4409.59,2023/6/10,32412.11914,33772.76172,32280.53906,33706.07813,33706.07813,507600000
16-Jun-23,4396.11,4400.15,4341.34,4348.33,4348.33,2023/6/17,33768.69141,33772.89063,32575.56055,32781.53906,32781.53906,445600000
23-Jun-23,4344.84,4458.48,4328.08,4450.38,4450.38,2023/6/24,32647.08008,33527.98047,32306.99023,33189.03906,33189.03906,474000000
30-Jun-23,4450.48,4456.46,4385.05,4398.95,4398.95,2023/7/1,33517.60156,33762.80859,32327.90039,32388.41992,32388.41992,495600000
7-Jul-23,4394.23,4527.76,4389.92,4505.42,4505.42,2023/7/8,32393.46094,32780.62891,31791.71094,32391.25977,32391.25977,444900000
14-Jul-23,4508.86,4578.43,4504.9,4536.34,4536.34,2023/7/15,32457.17969,32896.03125,32080.94922,32304.25,32304.25,318000000
21-Jul-23,4543.39,4607.07,4528.56,4582.23,4582.23,2023/7/22,32648.14063,32938.58984,32037.55078,32759.23047,32759.23047,531100000
28-Jul-23,4584.82,4594.22,4474.55,4478.03,4478.03,2023/7/29,33128.82813,33488.76953,31934.34961,32192.75,32192.75,596200000
4-Aug-23,4491.58,4527.37,4443.98,4464.05,4464.05,2023/8/5,31921.2793,32539.88086,31830.23047,32473.65039,32473.65039,398400000
11-Aug-23,4458.13,4490.33,4335.31,4369.71,4369.71,2023/8/12,32456.7207,32613.99023,31275.25,31450.75977,31450.75977,418000000
18-Aug-23,4380.28,4458.3,4356.29,4405.71,4405.71,2023/8/19,31552.84961,32297.91016,31409.85938,31624.2793,31624.2793,343900000
25-Aug-23,4426.03,4541.25,4414.98,4515.77,4515.77,2023/8/26,31915.67969,32845.46094,31881.92969,32710.61914,32710.61914,439500000
1-Sep-23,4510.06,4514.29,4430.46,4457.49,4457.49,2023/9/2,32797.32031,33322.44922,32512.80078,32606.83984,32606.83984,489400000
8-Sep-23,4480.98,4511.99,4447.21,4450.32,4450.32,2023/9/9,32690.53906,33634.30859,32391.68945,33533.08984,33533.08984,555000000
